symbol,bidPrice,bidQty,askPrice,askQty
EOSUSDC,2.71410000,3700.00000000,2.71720000,184.10000000
XLMUSDC,0.00000000,0.00000000,0.00000000,0.00000000
USDCUSDT,1.00000000,5239.53000000,1.00010000,4094.97000000
ADATUSD,0.08804000,10226.50000000,0.08827000,8416.20000000
TRXTUSD,0.01673000,14679.90000000,0.01677000,47747.70000000
NEOTUSD,12.05800000,9.86600000,12.09700000,60.94000000
TRXXRP,0.08220000,245.50000000,0.08235000,10486.00000000
XZCXRP,0.00000000,0.00000000,0.00000000,0.00000000
PAXTUSD,0.00000000,0.00000000,0.00000000,0.00000000
USDCTUSD,0.99980000,415.53000000,0.99990000,10797.35000000
USDCPAX,0.99980000,755.28000000,0.99990000,9673.27000000
LINKUSDT,4.40250000,156.83000000,4.40290000,3.00000000
LINKTUSD,4.39430000,162.26000000,4.40580000,203.20000000
LINKPAX,0.00000000,0.00000000,0.00000000,0.00000000
