id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
178090201,0.02527000,0.20400000,0.00515508,1591233119938,True,True
178090202,0.02526900,0.00700000,0.00017688,1591233123053,True,True
178090203,0.02526800,0.41400000,0.01046095,1591233123053,True,True
178090204,0.02526800,0.42100000,0.01063782,1591233123054,True,True
178090205,0.02526800,0.42100000,0.01063782,1591233123054,True,True
178090206,0.02526800,0.42100000,0.01063782,1591233123054,True,True
178090207,0.02526800,0.42100000,0.01063782,1591233123054,True,True
178090208,0.02526800,0.42100000,0.01063782,1591233123054,True,True
178090209,0.02526800,0.42100000,0.01063782,1591233123055,True,True
178090210,0.02526800,0.42100000,0.01063782,1591233123055,True,True
178090211,0.02526800,0.42100000,0.01063782,1591233123055,True,True
178090212,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090213,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090214,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090215,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090216,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090217,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090218,0.02526800,0.42100000,0.01063782,1591233123056,True,True
178090219,0.02526800,0.42100000,0.01063782,1591233123057,True,True
178090220,0.02526800,0.42100000,0.01063782,1591233123057,True,True
178090221,0.02526800,0.42100000,0.01063782,1591233123057,True,True
178090222,0.02526800,0.42100000,0.01063782,1591233123057,True,True
178090223,0.02526800,0.42100000,0.01063782,1591233123057,True,True
178090224,0.02526800,0.42100000,0.01063782,1591233123057,True,True
178090225,0.02526800,0.42100000,0.01063782,1591233123058,True,True
178090226,0.02526800,0.42100000,0.01063782,1591233123058,True,True
178090227,0.02526800,0.42100000,0.01063782,1591233123058,True,True
178090228,0.02526800,0.42100000,0.01063782,1591233123059,True,True
178090229,0.02526800,0.42100000,0.01063782,1591233123059,True,True
178090230,0.02526800,0.42100000,0.01063782,1591233123059,True,True
178090231,0.02526800,0.42100000,0.01063782,1591233123060,True,True
178090232,0.02526800,0.42100000,0.01063782,1591233123060,True,True
178090233,0.02526800,0.42100000,0.01063782,1591233123060,True,True
178090234,0.02526800,0.42100000,0.01063782,1591233123060,True,True
178090235,0.02526800,0.42100000,0.01063782,1591233123061,True,True
178090236,0.02526800,0.42100000,0.01063782,1591233123061,True,True
178090237,0.02526800,0.42100000,0.01063782,1591233123061,True,True
178090238,0.02526800,0.42100000,0.01063782,1591233123061,True,True
178090239,0.02526800,0.42100000,0.01063782,1591233123061,True,True
178090240,0.02526800,0.42100000,0.01063782,1591233123061,True,True
178090241,0.02526800,0.42100000,0.01063782,1591233123062,True,True
178090242,0.02526800,0.42100000,0.01063782,1591233123063,True,True
178090243,0.02526800,0.42100000,0.01063782,1591233123064,True,True
178090244,0.02526800,0.42100000,0.01063782,1591233123064,True,True
178090245,0.02526800,0.42100000,0.01063782,1591233123066,True,True
178090246,0.02526800,0.42100000,0.01063782,1591233123067,True,True
178090247,0.02526800,0.41200000,0.01041041,1591233123067,True,True
178090248,0.02526800,0.42100000,0.01063782,1591233123089,True,True
178090249,0.02526700,0.06000000,0.00151602,1591233123127,True,True
178090250,0.02527200,0.02100000,0.00053071,1591233123147,False,True
178090251,0.02527200,1.02200000,0.02582798,1591233123177,False,True
178090252,0.02526800,0.26600000,0.00672128,1591233127024,True,True
178090253,0.02526800,23.73400000,0.59971071,1591233127692,True,True
178090254,0.02526700,101.10900000,2.55472110,1591233127692,True,True
178090255,0.02526900,0.98900000,0.02499104,1591233128694,True,True
178090256,0.02526900,0.98900000,0.02499104,1591233130770,True,True
178090257,0.02527000,1.00000000,0.02527000,1591233134832,False,True
178090258,0.02527100,1.00000000,0.02527100,1591233134935,False,True
178090259,0.02527200,1.00000000,0.02527200,1591233135156,False,True
178090260,0.02527300,1.00000000,0.02527300,1591233135364,False,True
178090261,0.02527300,3.95500000,0.09995471,1591233137243,True,True
178090262,0.02527000,1.97800000,0.04998406,1591233145978,True,True
178090263,0.02526900,0.00100000,0.00002526,1591233146307,True,True
178090264,0.02527300,0.00700000,0.00017691,1591233155749,False,True
178090265,0.02527400,0.06300000,0.00159226,1591233155749,False,True
178090266,0.02527400,0.03100000,0.00078349,1591233155856,False,True
178090267,0.02527400,0.53600000,0.01354686,1591233159830,False,True
178090268,0.02527800,10.45500000,0.26428149,1591233165060,False,True
178090269,0.02527800,0.06900000,0.00174418,1591233168068,False,True
178090270,0.02527200,0.00700000,0.00017690,1591233168695,True,True
178090271,0.02527200,0.62800000,0.01587081,1591233168695,True,True
178090272,0.02527700,0.00700000,0.00017693,1591233169714,False,True
178090273,0.02527800,0.07700000,0.00194640,1591233169714,False,True
178090274,0.02527300,0.00700000,0.00017691,1591233170767,True,True
178090275,0.02527200,0.01500000,0.00037908,1591233170767,True,True
178090276,0.02527300,0.00700000,0.00017691,1591233173749,True,True
178090277,0.02527300,2.05100000,0.05183492,1591233173875,True,True
178090278,0.02527100,2.03200000,0.05135067,1591233173875,True,True
178090279,0.02527100,0.01500000,0.00037906,1591233174021,True,True
178090280,0.02527100,0.01600000,0.00040433,1591233177548,True,True
178090281,0.02527200,0.05400000,0.00136468,1591233201859,True,True
178090282,0.02527700,0.00700000,0.00017693,1591233216025,False,True
178090283,0.02528000,0.01700000,0.00042976,1591233217027,False,True
178090284,0.02528200,0.00700000,0.00017697,1591233220046,True,True
178090285,0.02528200,0.02400000,0.00060676,1591233220046,True,True
178090286,0.02528100,0.78800000,0.01992142,1591233220046,True,True
178090287,0.02528400,0.05500000,0.00139062,1591233225169,False,True
178090288,0.02528500,0.00700000,0.00017699,1591233228046,False,True
178090289,0.02528700,19.40900000,0.49079538,1591233228046,False,True
178090290,0.02528900,0.00700000,0.00017702,1591233234358,False,True
178090291,0.02528900,0.02700000,0.00068280,1591233234358,False,True
178090292,0.02528500,0.00700000,0.00017699,1591233243013,True,True
178090293,0.02528500,0.06200000,0.00156767,1591233243013,True,True
178090294,0.02528500,0.00100000,0.00002528,1591233243116,True,True
178090295,0.02528500,4.04800000,0.10235368,1591233243116,True,True
178090296,0.02528300,0.00700000,0.00017698,1591233248245,True,True
178090297,0.02528200,0.29300000,0.00740762,1591233248245,True,True
178090298,0.02528700,4.39500000,0.11113636,1591233249944,False,True
178090299,0.02528700,4.07300000,0.10299395,1591233253686,False,True
178090300,0.02528700,2.01000000,0.05082687,1591233253862,False,True
178090301,0.02528500,0.02300000,0.00058155,1591233255420,True,True
178090302,0.02528700,0.03800000,0.00096090,1591233258632,False,True
178090303,0.02528700,0.06600000,0.00166894,1591233258740,False,True
178090304,0.02528500,0.06700000,0.00169409,1591233260092,True,True
178090305,0.02528500,0.08100000,0.00204808,1591233260123,True,True
178090306,0.02528500,0.27300000,0.00690280,1591233260637,True,True
178090307,0.02528500,6.74500000,0.17054732,1591233261058,True,True
178090308,0.02528500,3.94700000,0.09979989,1591233264970,True,True
178090309,0.02528600,1.39100000,0.03517282,1591233265394,False,True
178090310,0.02528700,0.79400000,0.02007787,1591233265394,False,True
178090311,0.02528300,0.98900000,0.02500488,1591233265494,True,True
178090312,0.02528300,0.98900000,0.02500488,1591233265566,True,True
178090313,0.02527900,0.25000000,0.00631975,1591233265607,True,True
178090314,0.02527800,0.00500000,0.00012639,1591233265628,True,True
178090315,0.02527800,1.44800000,0.03660254,1591233265628,True,True
178090316,0.02527400,5.00000000,0.12637000,1591233265709,True,True
178090317,0.02527300,2.04800000,0.05175910,1591233265918,True,True
178090318,0.02526600,1.90000000,0.04800540,1591233266152,True,True
178090319,0.02526600,5.02600000,0.12698691,1591233266337,True,True
178090320,0.02527000,0.00500000,0.00012635,1591233266401,False,True
178090321,0.02526600,0.12600000,0.00318351,1591233266560,True,True
178090322,0.02526600,0.71300000,0.01801465,1591233266652,True,True
178090323,0.02526600,0.20200000,0.00510373,1591233266654,True,True
178090324,0.02526600,1.33500000,0.03373011,1591233266710,True,True
178090325,0.02526900,0.12200000,0.00308281,1591233267782,False,True
178090326,0.02526900,0.38100000,0.00962748,1591233267784,False,True
178090327,0.02527000,2.23900000,0.05657953,1591233267784,False,True
178090328,0.02527100,0.00700000,0.00017689,1591233267784,False,True
178090329,0.02527300,1.00000000,0.02527300,1591233267784,False,True
178090330,0.02527300,5.83500000,0.14746795,1591233267784,False,True
178090331,0.02527400,18.28000000,0.46200872,1591233267784,False,True
178090332,0.02527300,0.00700000,0.00017691,1591233267806,False,True
178090333,0.02527300,0.11400000,0.00288112,1591233267806,False,True
178090334,0.02527300,0.12100000,0.00305803,1591233267825,False,True
178090335,0.02527300,0.10700000,0.00270421,1591233267938,False,True
178090336,0.02527300,0.14300000,0.00361403,1591233269215,False,True
178090337,0.02527300,1.00000000,0.02527300,1591233269215,False,True
178090338,0.02527400,4.57700000,0.11567909,1591233269215,False,True
178090339,0.02527000,0.15500000,0.00391685,1591233270636,True,True
178090340,0.02527900,18.63400000,0.47104888,1591233285723,False,True
178090341,0.02528000,1.00000000,0.02528000,1591233285828,False,True
178090342,0.02528600,2.19600000,0.05552805,1591233287177,False,True
178090343,0.02528700,0.30400000,0.00768724,1591233287177,False,True
178090344,0.02528600,0.19300000,0.00488019,1591233297303,False,True
178090345,0.02528600,0.85100000,0.02151838,1591233300077,False,True
178090346,0.02528600,0.83900000,0.02121495,1591233302374,False,True
178090347,0.02528600,0.05500000,0.00139073,1591233302381,False,True
178090348,0.02528200,0.00700000,0.00017697,1591233305548,True,True
178090349,0.02528200,1.00000000,0.02528200,1591233305878,True,True
178090350,0.02528100,2.21400000,0.05597213,1591233305878,True,True
178090351,0.02528200,0.36000000,0.00910152,1591233306067,True,True
178090352,0.02528200,0.01300000,0.00032866,1591233306284,True,True
178090353,0.02528100,1.00000000,0.02528100,1591233306284,True,True
178090354,0.02527700,19.98700000,0.50521139,1591233306284,True,True
178090355,0.02528500,0.00700000,0.00017699,1591233315259,False,True
178090356,0.02528600,0.07500000,0.00189645,1591233315259,False,True
178090357,0.02528300,0.41600000,0.01051772,1591233315861,True,True
178090358,0.02528300,0.57300000,0.01448715,1591233316060,True,True
178090359,0.02528300,0.37900000,0.00958225,1591233317199,True,True
178090360,0.02528300,0.46500000,0.01175659,1591233317205,True,True
178090361,0.02528300,0.14500000,0.00366603,1591233317237,True,True
178090362,0.02528100,0.01900000,0.00048033,1591233317237,True,True
178090363,0.02528100,0.18700000,0.00472754,1591233319636,True,True
178090364,0.02528400,2.00000000,0.05056800,1591233324699,False,True
178090365,0.02528300,0.01600000,0.00040452,1591233326774,False,True
178090366,0.02528400,0.01500000,0.00037926,1591233328835,False,True
178090367,0.02528000,0.00700000,0.00017696,1591233329384,True,True
178090368,0.02528000,4.16400000,0.10526592,1591233329384,True,True
178090369,0.02527600,0.00700000,0.00017693,1591233330467,True,True
178090370,0.02527100,0.10900000,0.00275453,1591233330533,False,True
178090371,0.02527100,1.61300000,0.04076212,1591233330572,False,True
178090372,0.02527300,0.85000000,0.02148205,1591233332019,False,True
178090373,0.02527300,0.05000000,0.00126365,1591233332933,False,True
